folder	genename	effect_size_iptghigh_mean	effect_size_iptghigh_sd	lower_iptghigh	upper_iptghigh	effect_size_iptglow_mean	effect_size_iptglow_sd	lower_iptglow	upper_iptglow
RcaT-Eco1	P1_gp031	0.3936	0.4314361546689795	-0.037836154668979494	0.8250361546689795	-2.0000000000000017e-4	0.31089648152113625	-0.3110964815211362	0.31069648152113627
RcaT-Eco1	P1_gp032	0.005299999999999971	0.29744469140403973	-0.29214469140403976	0.3027446914040397	-0.2873	0.2512210403431829	-0.5385210403431828	-0.03607895965681712
RcaT-Eco1	P1_gp033	0.27180000000000004	0.300764137933143	-0.028964137933142953	0.572564137933143	0.2814	0.18898924131635997	0.09241075868364002	0.47038924131635995
RcaT-Eco1	P1_gp034	-0.1046	0.2572293399543165	-0.36182933995431654	0.15262933995431652	0.4688	0.2886588913502502	0.1801411086497498	0.7574588913502502
RcaT-Eco1	P1_gp035	0.07990000000000001	0.5419492493664779	-0.4620492493664779	0.6218492493664779	0.5222	0.4128017549488966	0.1093982450511034	0.9350017549488966
RcaT-Eco1	P1_gp036	-0.41100000000000003	0.6987706665598123	-1.1097706665598124	0.2877706665598123	-0.5057	0.6386781575166705	-1.1443781575166705	0.13297815751667041
RcaT-Eco1	P1_gp038	0.09010000000000001	0.5348209357657321	-0.4447209357657321	0.6249209357657322	0.06690000000000003	0.5770893345054993	-0.5101893345054992	0.6439893345054993
RcaT-Eco1	P1_gp039	0.15460000000000002	0.3480782798292489	-0.19347827982924887	0.5026782798292488	-0.007599999999999996	0.49587256427433046	-0.5034725642743305	0.48827256427433047
RcaT-Eco1	P1_gp040	0.16229999999999997	0.4593074617774508	-0.29700746177745085	0.6216074617774507	0.059500000000000025	0.4559544933433599	-0.3964544933433599	0.5154544933433599
RcaT-Eco1	P1_gp041	-0.010799999999999988	0.5391917407873875	-0.5499917407873876	0.5283917407873875	0.2633	0.36664395384199217	-0.10334395384199219	0.6299439538419922
RcaT-Eco1	P1_gp042	-0.6308	0.488180476645449	-1.118980476645449	-0.14261952335455103	-0.5587	0.1457250455099908	-0.7044250455099907	-0.4129749544900092
RcaT-Eco1	P1_gp043	0.018900000000000004	0.22229482425123825	-0.20339482425123825	0.24119482425123825	-0.21810000000000002	0.2236591901383293	-0.4417591901383293	0.005559190138329284
RcaT-Eco1	P1_gp045	0.03833333333333333	0.7968763182995632	-0.7585429849662298	0.8352096516328965	0.4535	0.3859496081096598	0.06755039189034023	0.8394496081096599
RcaT-Eco1	P1_gp046	0.0896	0.3732631481646397	-0.28366314816463967	0.4628631481646397	0.11760000000000002	0.394144136072072	-0.27654413607207196	0.511744136072072
RcaT-Eco1	P1_gp047	-0.3867999999999999	0.5664656113912732	-0.9532656113912731	0.17966561139127324	0.3923	0.4263022011046467	-0.034002201104646745	0.8186022011046468
RcaT-Eco1	P1_gp048	-0.736625	0.14717136513019682	-0.8837963651301968	-0.5894536348698032	-0.9392499999999999	0.8230948131464391	-1.762344813146439	-0.11615518685356085
RcaT-Eco1	P1_gp050	0.16700000000000004	0.4497032354786876	-0.2827032354786876	0.6167032354786877	0.8396666666666667	0.6211814013099018	0.21848526535676482	1.4608480679765685
RcaT-Eco1	P1_gp051	0.047	0.456719461668393	-0.409719461668393	0.503719461668393	-0.2235	0.24753282610595304	-0.47103282610595304	0.02403282610595303
RcaT-Eco1	P1_gp052	0.29240000000000005	0.6981830705481191	-0.4057830705481191	0.9905830705481191	-0.10110000000000001	0.2614869658956892	-0.36258696589568923	0.16038696589568918
RcaT-Eco1	P1_gp053	-0.035900000000000064	0.35607254254653725	-0.3919725425465373	0.3201725425465372	0.15780000000000002	0.5594077820934087	-0.40160778209340864	0.7172077820934087
RcaT-Eco1	P1_gp054	0.175	0.39802931215343096	-0.22302931215343097	0.5730293121534309	0.19329999999999997	0.335967938285122	-0.14266793828512203	0.529267938285122
RcaT-Eco1	P1_gp055	-0.4214	0.31688315406997153	-0.7382831540699715	-0.10451684593002847	-0.2927	0.21384212764456761	-0.5065421276445676	-0.0788578723554324
RcaT-Eco1	P1_gp056	-0.15339999999999995	0.40084776827785046	-0.5542477682778504	0.2474477682778505	-0.1116	0.1742432526989528	-0.28584325269895283	0.0626432526989528
RcaT-Eco1	P1_gp057	0.17770000000000002	0.4314863329881441	-0.25378633298814407	0.6091863329881442	0.11769999999999999	0.5768294664225583	-0.4591294664225583	0.6945294664225583
RcaT-Eco1	P1_gp058	0.11919999999999997	0.21043489360000267	-0.0912348936000027	0.32963489360000264	0.084	0.32769396291865577	-0.24369396291865575	0.4116939629186558
RcaT-Eco1	P1_gp059	-0.41209999999999997	0.5941308217331712	-1.0062308217331712	0.18203082173317126	0.033999999999999975	0.6976798055778246	-0.6636798055778246	0.7316798055778246
RcaT-Eco1	P1_gp060	-0.574	0.3141834655102015	-0.8881834655102014	-0.25981653448979847	-1.093888888888889	0.6740512674204472	-1.767940156309336	-0.4198376214684417
RcaT-Eco1	P1_gp061	-0.2605	0.22978891279703736	-0.49028891279703735	-0.030711087202962645	0.021600000000000032	0.42481373696140184	-0.40321373696140184	0.44641373696140185
RcaT-Eco1	P1_gp062	0.0534	0.4554046308260136	-0.4020046308260136	0.5088046308260137	-0.047400000000000005	0.25350836058972276	-0.30090836058972276	0.20610836058972276
RcaT-Eco1	P1_gp063	-0.07849999999999997	0.6455077674031334	-0.7240077674031334	0.5670077674031334	-0.04490000000000001	0.19944392138588174	-0.24434392138588173	0.15454392138588174
RcaT-Eco1	P1_gp064	0.09320000000000002	0.5354497175272389	-0.4422497175272389	0.628649717527239	0.3218	0.6308864662784687	-0.3090864662784687	0.9526864662784686
RcaT-Eco1	P1_gp065	-0.3443	0.3956642937305985	-0.7399642937305986	0.05136429373059853	-0.3477	0.34635436253127294	-0.694054362531273	-0.0013456374687270678
RcaT-Eco1	P1_gp066	0.06689999999999999	0.21200338047619272	-0.14510338047619273	0.2789033804761927	-0.03509999999999997	0.3746641310708981	-0.40976413107089804	0.3395641310708981
RcaT-Eco1	P1_gp067	-0.0863	0.5414876729898844	-0.6277876729898845	0.45518767298988444	-0.30619999999999997	0.5089622994114812	-0.8151622994114811	0.20276229941148122
RcaT-Eco1	P1_gp068	0.11909999999999998	0.3823629602005578	-0.26326296020055784	0.5014629602005578	0.16279999999999994	0.3335398693476455	-0.17073986934764557	0.49633986934764546
RcaT-Eco1	P1_gp069	-0.2654999999999999	0.8267512389534781	-1.092251238953478	0.5612512389534783	0.21059999999999998	0.5658101762566272	-0.3552101762566272	0.7764101762566272
RcaT-Eco1	P1_gp072	-0.5344	0.35069778062219514	-0.8850977806221951	-0.18370221937780484	-0.2324	0.30318538516521176	-0.5355853851652117	0.07078538516521177
RcaT-Eco1	P1_gp073	-0.3003	0.2920171418103929	-0.592317141810393	-0.008282858189607112	-0.1756	0.11284423876398043	-0.28844423876398045	-0.06275576123601957
RcaT-Eco1	P1_gp074	0.12420000000000005	0.7971694090133331	-0.672969409013333	0.9213694090133332	0.1272	0.47724459137846703	-0.350044591378467	0.6044445913784671
RcaT-Eco1	P1_gp075	0.30450000000000005	0.5581005982596486	-0.2536005982596486	0.8626005982596487	0.3188	0.6335855287348522	-0.3147855287348522	0.9523855287348522
RcaT-Eco1	P1_gp076	0.112	0.1796991312660631	-0.0676991312660631	0.2916991312660631	-0.1067	0.5163041846732517	-0.6230041846732517	0.40960418467325166
RcaT-Eco1	P1_gp077	0.1304	0.2521684622099547	-0.12176846220995471	0.38256846220995466	0.39890000000000003	0.3694110778583182	0.029488922141681806	0.7683110778583182
RcaT-Eco1	P1_gp078	0.1612	0.4380263310197992	-0.2768263310197992	0.5992263310197992	0.3856	0.3849788450176336	6.211549823664231e-4	0.7705788450176336
